"NetWorth","Age","Education","Location","Party"
"Low",22.41,"College","EastCoast","Democrat"
"Low",78.47,"HighSchool","WestCoast","Democrat"
"Low",79.25,"PrimarySchool","Central","Republican"
"Low",45.84,"College","Central","Republican"
"High",95.36,"HighSchool","EastCoast","Republican"
"Medium",23.5,"HighSchool","Central","Republican"
"Medium",71.37,"PrimarySchool","Central","Republican"
"High",23.13,"HighSchool","EastCoast","Republican"
"Low",32.53,"College","WestCoast","Democrat"
"Low",81.21,"PrimarySchool","Central","Republican"
"High",50.06,"PrimarySchool","WestCoast","Republican"
"High",37.96,"College","WestCoast","Republican"
"Low",96.52,"HighSchool","Central","Republican"
"High",69.45,"PrimarySchool","WestCoast","Republican"
"Low",21.34,"PrimarySchool","Central","Democrat"
"Low",39.19,"PrimarySchool","Central","Democrat"
"High",20.35,"HighSchool","WestCoast","Republican"
"High",28.6,"College","WestCoast","Republican"
"Low",49.63,"College","EastCoast","Democrat"
"High",82.36,"College","Central","Republican"
"Low",94.47,"PrimarySchool","Central","Republican"
"High",53.03,"HighSchool","Central","Republican"
"Medium",65.62,"PrimarySchool","EastCoast","Republican"
"High",72.19,"HighSchool","Central","Republican"
"High",71.86,"PrimarySchool","EastCoast","Republican"
"Low",94.81,"HighSchool","Central","Democrat"
"High",28.75,"College","EastCoast","Republican"
"Medium",73.56,"College","WestCoast","Republican"
"Low",64.99,"PrimarySchool","Central","Republican"
"Medium",94.87,"PrimarySchool","EastCoast","Republican"
"Low",51.92,"HighSchool","Central","Republican"
"Medium",22.46,"PrimarySchool","Central","Democrat"
"Low",48.73,"College","EastCoast","Republican"
"Medium",74.42,"College","Central","Democrat"
"Low",69.26,"College","EastCoast","Republican"
"Low",65.27,"College","EastCoast","Democrat"
"Low",46.71,"PrimarySchool","EastCoast","Republican"
"Medium",96.59,"College","Central","Republican"
"High",68.48,"HighSchool","WestCoast","Republican"
"Low",75.54,"PrimarySchool","Central","Republican"
"High",85.59,"College","EastCoast","Republican"
"High",96.65,"College","Central","Republican"
"Low",33.06,"PrimarySchool","WestCoast","Democrat"
"High",96.39,"HighSchool","WestCoast","Republican"
"Medium",93.61,"College","EastCoast","Democrat"
"Low",96.57,"PrimarySchool","WestCoast","Republican"
"Low",93.03,"College","Central","Republican"
"High",49.49,"PrimarySchool","Central","Republican"
"High",71.38,"PrimarySchool","WestCoast","Republican"
"High",56.58,"College","Central","Republican"
"High",31.82,"College","WestCoast","Republican"
"Medium",91.33,"HighSchool","Central","Democrat"
"Low",94.83,"College","EastCoast","Democrat"
"Medium",30.01,"PrimarySchool","Central","Republican"
"High",84.9,"College","Central","Republican"
"High",54.21,"College","WestCoast","Republican"
"Medium",88.49,"College","EastCoast","Democrat"
"Medium",96.88,"HighSchool","EastCoast","Democrat"
"High",24.21,"PrimarySchool","WestCoast","Republican"
"High",19.5,"HighSchool","WestCoast","Republican"
"High",90.49,"College","EastCoast","Republican"
"High",44.46,"College","WestCoast","Republican"
"High",38.61,"College","EastCoast","Republican"
"Low",25.79,"HighSchool","WestCoast","Republican"
"Low",98.19,"College","Central","Democrat"
"Low",42.89,"College","WestCoast","Democrat"
"Low",55.92,"PrimarySchool","WestCoast","Republican"
"Medium",79.42,"HighSchool","WestCoast","Republican"
"Medium",18.4,"HighSchool","EastCoast","Republican"
"High",62.67,"College","EastCoast","Republican"
"High",35.99,"PrimarySchool","EastCoast","Republican"
"Medium",71.34,"PrimarySchool","Central","Republican"
"Medium",51.72,"PrimarySchool","Central","Republican"
"High",18.22,"PrimarySchool","WestCoast","Republican"
"Low",93.89,"PrimarySchool","WestCoast","Republican"
"Medium",61.08,"HighSchool","EastCoast","Democrat"
"Medium",26.66,"PrimarySchool","EastCoast","Democrat"
"Medium",82.35,"HighSchool","Central","Democrat"
"Low",34.8,"PrimarySchool","EastCoast","Democrat"
"Low",95.62,"College","WestCoast","Republican"
"Medium",96.47,"HighSchool","EastCoast","Democrat"
"Medium",69.7,"College","EastCoast","Democrat"
"High",60.3,"HighSchool","EastCoast","Republican"
"High",66.62,"College","EastCoast","Republican"
"High",96.17,"PrimarySchool","Central","Republican"
"High",90.27,"PrimarySchool","EastCoast","Republican"
"Low",74.24,"HighSchool","Central","Republican"
"High",79.61,"PrimarySchool","WestCoast","Republican"
"Medium",75.38,"College","Central","Democrat"
"Low",44.17,"HighSchool","WestCoast","Democrat"
"Medium",81.14,"PrimarySchool","Central","Republican"
"High",28.42,"HighSchool","WestCoast","Republican"
"Medium",75.34,"PrimarySchool","Central","Republican"
"High",36.22,"College","EastCoast","Republican"
"Low",63.22,"HighSchool","EastCoast","Democrat"
"Low",42.85,"HighSchool","Central","Republican"
"Low",94.75,"PrimarySchool","EastCoast","Republican"
"Medium",48.5,"College","EastCoast","Republican"
"Medium",81.34,"PrimarySchool","WestCoast","Republican"
"Medium",83.83,"HighSchool","WestCoast","Democrat"
"Low",90.14,"College","WestCoast","Democrat"
"Low",66.14,"PrimarySchool","EastCoast","Republican"
"Medium",19.68,"College","WestCoast","Democrat"
"Low",43.49,"HighSchool","WestCoast","Republican"
"High",99.21,"PrimarySchool","Central","Republican"
"Low",61.2,"PrimarySchool","WestCoast","Republican"
"Low",69.91,"PrimarySchool","EastCoast","Republican"
"Medium",73.67,"PrimarySchool","Central","Republican"
"High",27.4,"HighSchool","WestCoast","Republican"
"Low",80.73,"HighSchool","Central","Democrat"
"Medium",76.56,"College","Central","Democrat"
"High",28.5,"HighSchool","WestCoast","Republican"
"High",40.34,"College","EastCoast","Republican"
"High",84.21,"College","EastCoast","Republican"
"Low",67.49,"PrimarySchool","WestCoast","Republican"
"Medium",49.5,"College","WestCoast","Democrat"
"Low",59.74,"PrimarySchool","Central","Republican"
"Low",83.99,"HighSchool","Central","Republican"
"Medium",83.92,"PrimarySchool","WestCoast","Republican"
"Medium",61.37,"College","EastCoast","Democrat"
"High",31.41,"College","WestCoast","Republican"
"Low",58.43,"PrimarySchool","EastCoast","Republican"
"Low",91.64,"PrimarySchool","EastCoast","Republican"
"Medium",67.16,"PrimarySchool","WestCoast","Republican"
"High",71.39,"College","Central","Republican"
"Low",83.21,"HighSchool","EastCoast","Democrat"
"Medium",73.07,"College","EastCoast","Republican"
"Low",29.34,"HighSchool","EastCoast","Republican"
"Low",70.13,"College","EastCoast","Republican"
"Medium",67.82,"College","EastCoast","Democrat"
"Low",48.02,"College","Central","Democrat"
"Low",21.39,"College","WestCoast","Democrat"
"High",66.12,"PrimarySchool","Central","Republican"
"Low",25.29,"College","Central","Democrat"
"Low",28.12,"PrimarySchool","Central","Republican"
"Low",66.76,"College","Central","Republican"
"Low",76.25,"College","WestCoast","Democrat"
"Low",68.57,"College","WestCoast","Democrat"
"High",90.3,"PrimarySchool","EastCoast","Republican"
"High",22.46,"College","EastCoast","Republican"
"Medium",42.29,"HighSchool","Central","Republican"
"High",24.68,"HighSchool","EastCoast","Republican"
"High",79.1,"PrimarySchool","WestCoast","Republican"
"Low",78.14,"HighSchool","EastCoast","Republican"
"Medium",92.01,"PrimarySchool","EastCoast","Republican"
"Medium",92.55,"HighSchool","WestCoast","Republican"
"Low",36.15,"College","Central","Democrat"
"Low",89.98,"College","EastCoast","Republican"
"High",45.16,"PrimarySchool","Central","Republican"
"Low",19.15,"PrimarySchool","EastCoast","Democrat"
"Medium",97.44,"HighSchool","WestCoast","Republican"
"High",73.87,"PrimarySchool","WestCoast","Republican"
"Low",71.92,"PrimarySchool","EastCoast","Republican"
"High",68.62,"HighSchool","EastCoast","Republican"
"High",84.32,"HighSchool","Central","Republican"
"Medium",90.73,"PrimarySchool","WestCoast","Republican"
"Low",66.3,"College","Central","Democrat"
"Medium",88.49,"HighSchool","Central","Republican"
"Medium",39.19,"PrimarySchool","EastCoast","Democrat"
"Medium",38.25,"HighSchool","EastCoast","Democrat"
"High",26.01,"PrimarySchool","Central","Republican"
"High",28.34,"PrimarySchool","Central","Republican"
"Low",41.99,"PrimarySchool","EastCoast","Republican"
"Medium",59.38,"HighSchool","Central","Democrat"
"Medium",71.13,"College","WestCoast","Republican"
"Medium",53.3,"College","WestCoast","Democrat"
"Low",44.06,"College","Central","Republican"
"Medium",54.03,"PrimarySchool","EastCoast","Republican"
"High",96.33,"College","Central","Republican"
"Medium",91.68,"PrimarySchool","WestCoast","Republican"
"High",57.59,"College","Central","Republican"
"Low",39.75,"College","WestCoast","Democrat"
"High",33.86,"PrimarySchool","EastCoast","Republican"
"Low",52.07,"HighSchool","EastCoast","Democrat"
"Medium",22.05,"HighSchool","EastCoast","Democrat"
"Medium",57.42,"PrimarySchool","EastCoast","Republican"
"Medium",48.18,"PrimarySchool","WestCoast","Republican"
"High",88.52,"HighSchool","Central","Republican"
"Medium",71.77,"College","Central","Republican"
"Medium",79.92,"PrimarySchool","WestCoast","Republican"
"High",68.92,"College","EastCoast","Republican"
"High",34.81,"College","Central","Republican"
"High",37.92,"College","WestCoast","Republican"
"Low",62.58,"HighSchool","Central","Republican"
"Medium",42.89,"PrimarySchool","WestCoast","Republican"
"Medium",51,"PrimarySchool","Central","Republican"
"Low",86.68,"PrimarySchool","EastCoast","Republican"
"Medium",31.27,"PrimarySchool","WestCoast","Democrat"
"High",25.53,"College","EastCoast","Republican"
"Medium",53.6,"College","WestCoast","Republican"
"Low",82.77,"HighSchool","EastCoast","Democrat"
"High",84.81,"College","Central","Republican"
"High",74.79,"College","Central","Republican"
"Medium",61.06,"College","WestCoast","Democrat"
"Medium",69.46,"PrimarySchool","WestCoast","Republican"
"Medium",38.23,"PrimarySchool","WestCoast","Democrat"
"Low",41.97,"HighSchool","WestCoast","Democrat"
"Low",81.92,"PrimarySchool","WestCoast","Republican"
"Low",97.04,"PrimarySchool","Central","Republican"
"Low",67.52,"College","EastCoast","Republican"
"Low",45.25,"HighSchool","EastCoast","Republican"
"Medium",21.54,"HighSchool","EastCoast","Democrat"
"Low",18.27,"PrimarySchool","Central","Republican"
"Low",87.56,"College","EastCoast","Republican"
"Medium",81.01,"College","EastCoast","Republican"
"Low",85.85,"HighSchool","EastCoast","Republican"
"Low",31.58,"HighSchool","WestCoast","Democrat"
"High",84.44,"HighSchool","WestCoast","Republican"
"Medium",40.28,"PrimarySchool","EastCoast","Republican"
"Medium",25.89,"College","Central","Democrat"
"Low",87.01,"HighSchool","WestCoast","Republican"
"Low",31.65,"PrimarySchool","WestCoast","Democrat"
"High",19.61,"HighSchool","EastCoast","Republican"
"Low",44.43,"HighSchool","Central","Republican"
"High",75.62,"PrimarySchool","Central","Republican"
"Low",73.24,"College","Central","Democrat"
"Medium",42.67,"HighSchool","EastCoast","Republican"
"High",39.77,"College","WestCoast","Republican"
"Low",80.91,"PrimarySchool","WestCoast","Republican"
"High",62.16,"PrimarySchool","Central","Republican"
"Medium",55.78,"College","Central","Democrat"
"Medium",54.37,"HighSchool","EastCoast","Republican"
"Low",71.32,"HighSchool","EastCoast","Democrat"
"Medium",61.98,"HighSchool","EastCoast","Democrat"
"Medium",92.7,"HighSchool","EastCoast","Democrat"
"Low",71.47,"College","WestCoast","Republican"
"High",22.05,"HighSchool","Central","Republican"
"Low",85.04,"HighSchool","WestCoast","Republican"
"Low",92.1,"HighSchool","WestCoast","Democrat"
"High",78.59,"College","EastCoast","Republican"
"Medium",50.89,"HighSchool","WestCoast","Republican"
"Medium",84.71,"College","EastCoast","Republican"
"Medium",70.59,"HighSchool","EastCoast","Republican"
"Low",80.13,"HighSchool","Central","Democrat"
"High",89.14,"HighSchool","EastCoast","Republican"
"Low",46.65,"College","WestCoast","Republican"
"High",78.89,"PrimarySchool","EastCoast","Republican"
"Low",23.2,"PrimarySchool","Central","Republican"
"Low",18.82,"HighSchool","EastCoast","Democrat"
"Medium",46.75,"PrimarySchool","EastCoast","Republican"
"Medium",83.69,"College","EastCoast","Democrat"
"Low",24.89,"HighSchool","Central","Republican"
"High",28.72,"PrimarySchool","WestCoast","Republican"
"High",88.51,"PrimarySchool","WestCoast","Republican"
"Medium",81.14,"College","WestCoast","Democrat"
"High",29.48,"HighSchool","EastCoast","Republican"
"High",73.57,"PrimarySchool","WestCoast","Republican"
"Low",69.44,"HighSchool","EastCoast","Republican"
"Medium",48.98,"HighSchool","WestCoast","Democrat"
"Low",29.19,"HighSchool","EastCoast","Republican"
"Low",87.74,"College","Central","Republican"
"Low",74.92,"College","WestCoast","Republican"
"High",57.66,"HighSchool","Central","Republican"
"Medium",98.52,"College","EastCoast","Democrat"
"Low",92.3,"College","Central","Republican"
"Medium",55.89,"HighSchool","WestCoast","Republican"
"Medium",69.85,"College","Central","Republican"
"High",89.05,"HighSchool","Central","Republican"
"High",60.81,"PrimarySchool","WestCoast","Republican"
"High",80.32,"HighSchool","Central","Republican"
"Low",36.67,"College","EastCoast","Democrat"
"High",75.22,"HighSchool","WestCoast","Republican"
"Medium",38.67,"HighSchool","WestCoast","Republican"
"Low",97.45,"PrimarySchool","WestCoast","Republican"
"Medium",26,"HighSchool","WestCoast","Republican"
"Medium",21.81,"College","Central","Democrat"
"Medium",97.15,"College","Central","Democrat"
"Low",94.67,"PrimarySchool","Central","Republican"
"Medium",36.91,"PrimarySchool","Central","Democrat"
"Low",35.34,"College","WestCoast","Democrat"
"High",67.61,"College","EastCoast","Republican"
"High",32.39,"College","WestCoast","Republican"
"Low",48.83,"College","WestCoast","Democrat"
"Low",95.69,"HighSchool","WestCoast","Republican"
"Low",52.94,"HighSchool","WestCoast","Republican"
"Medium",52.98,"PrimarySchool","Central","Republican"
"Medium",90.5,"College","Central","Republican"
"Low",89.68,"HighSchool","Central","Democrat"
"High",39.95,"HighSchool","EastCoast","Republican"
"Medium",78.08,"HighSchool","Central","Democrat"
"High",76.03,"PrimarySchool","EastCoast","Republican"
"Medium",24.62,"HighSchool","EastCoast","Democrat"
"Low",95.39,"PrimarySchool","Central","Republican"
"High",42.76,"College","Central","Republican"
"Low",33.32,"HighSchool","WestCoast","Republican"
"Low",92.98,"HighSchool","Central","Republican"
"Medium",34.57,"HighSchool","EastCoast","Democrat"
"Medium",93.69,"HighSchool","EastCoast","Republican"
"Medium",74.96,"PrimarySchool","WestCoast","Republican"
"High",71.88,"HighSchool","WestCoast","Republican"
"Medium",21.08,"HighSchool","EastCoast","Democrat"
"Medium",36.04,"PrimarySchool","EastCoast","Republican"
"Medium",75.77,"PrimarySchool","Central","Republican"
"High",21.68,"College","Central","Republican"
"High",23.08,"HighSchool","EastCoast","Republican"
"Low",79.24,"HighSchool","Central","Republican"
"Low",68.99,"PrimarySchool","Central","Republican"
"High",45.71,"HighSchool","Central","Republican"
"High",81.42,"HighSchool","Central","Republican"
"Medium",49.75,"College","EastCoast","Democrat"
"Low",52.3,"College","Central","Democrat"
"High",90.6,"HighSchool","Central","Republican"
"High",51.36,"PrimarySchool","WestCoast","Republican"
"Medium",74.94,"College","WestCoast","Republican"
"High",61.71,"PrimarySchool","EastCoast","Republican"
"High",35.21,"PrimarySchool","Central","Republican"
"Medium",54.52,"PrimarySchool","Central","Republican"
"Low",60.7,"College","WestCoast","Democrat"
"Medium",91.22,"HighSchool","EastCoast","Republican"
"High",54.44,"PrimarySchool","EastCoast","Republican"
"Low",75.18,"PrimarySchool","WestCoast","Republican"
"Low",80.78,"PrimarySchool","Central","Republican"
"High",92.05,"College","Central","Republican"
"Medium",73.44,"HighSchool","EastCoast","Republican"
"Low",71.84,"HighSchool","EastCoast","Democrat"
"Low",99.65,"HighSchool","WestCoast","Democrat"
"High",96,"PrimarySchool","Central","Republican"
"Low",23.47,"PrimarySchool","Central","Republican"
"Low",33.3,"College","Central","Democrat"
"Medium",20.54,"HighSchool","WestCoast","Democrat"
"Medium",38.86,"PrimarySchool","EastCoast","Republican"
"High",36.28,"HighSchool","Central","Republican"
"High",75.63,"HighSchool","WestCoast","Republican"
"Low",62.99,"HighSchool","Central","Democrat"
"High",30.94,"HighSchool","Central","Republican"
"Low",93.59,"HighSchool","EastCoast","Republican"
"Medium",44.62,"PrimarySchool","EastCoast","Republican"
"High",90.12,"College","EastCoast","Republican"
"Medium",69.67,"College","EastCoast","Republican"
"High",73.73,"College","Central","Republican"
"Low",29.59,"College","EastCoast","Democrat"
"High",97.44,"HighSchool","WestCoast","Republican"
"High",25.52,"PrimarySchool","WestCoast","Republican"
"High",90.88,"PrimarySchool","EastCoast","Republican"
"High",71.28,"HighSchool","EastCoast","Republican"
"High",75.92,"HighSchool","WestCoast","Republican"
"Medium",74.95,"College","EastCoast","Republican"
"High",82.46,"PrimarySchool","WestCoast","Republican"
"Medium",36.79,"PrimarySchool","Central","Republican"
"High",73.37,"HighSchool","EastCoast","Republican"
"Low",60.94,"HighSchool","EastCoast","Democrat"
"High",79.19,"College","WestCoast","Republican"
"High",68.27,"College","EastCoast","Republican"
"High",58.88,"PrimarySchool","EastCoast","Republican"
"Low",79.35,"PrimarySchool","Central","Republican"
"Low",51.65,"HighSchool","WestCoast","Democrat"
"High",54.56,"PrimarySchool","Central","Republican"
"Low",55.31,"College","WestCoast","Republican"
"Medium",72.62,"HighSchool","EastCoast","Democrat"
"Low",93.23,"PrimarySchool","Central","Republican"
"High",34.98,"PrimarySchool","Central","Republican"
"High",48.07,"HighSchool","WestCoast","Republican"
"Medium",87.5,"College","Central","Democrat"
"Low",40.26,"College","WestCoast","Republican"
"High",88.58,"College","EastCoast","Republican"
"High",90.16,"PrimarySchool","EastCoast","Republican"
"High",61.5,"College","Central","Republican"
"Medium",30.27,"College","EastCoast","Democrat"
"Medium",91.05,"College","WestCoast","Republican"
"High",86.29,"HighSchool","EastCoast","Republican"
"High",84.96,"HighSchool","EastCoast","Republican"
"Low",18.09,"College","WestCoast","Democrat"
"Low",45.16,"HighSchool","Central","Democrat"
"High",94.96,"HighSchool","WestCoast","Republican"
"Medium",20.01,"PrimarySchool","Central","Democrat"
"Medium",22.47,"College","Central","Democrat"
"Medium",24.81,"PrimarySchool","WestCoast","Democrat"
"Low",83.78,"HighSchool","EastCoast","Democrat"
"Medium",50.16,"College","WestCoast","Democrat"
"Medium",97.96,"HighSchool","Central","Democrat"
"Low",56.21,"PrimarySchool","Central","Republican"
"Low",47.28,"HighSchool","Central","Republican"
"Low",79.65,"PrimarySchool","WestCoast","Republican"
"High",94.67,"PrimarySchool","WestCoast","Republican"
"Medium",88.45,"College","EastCoast","Republican"
"High",41.97,"PrimarySchool","WestCoast","Republican"
"Medium",20.1,"College","EastCoast","Democrat"
"Low",79.88,"HighSchool","Central","Republican"
"Medium",48.06,"PrimarySchool","EastCoast","Republican"
"High",44.81,"HighSchool","WestCoast","Republican"
"High",99.78,"PrimarySchool","EastCoast","Republican"
"Medium",64.29,"HighSchool","EastCoast","Republican"
"Medium",79.83,"HighSchool","EastCoast","Republican"
"Low",25.2,"College","WestCoast","Democrat"
"Medium",63.07,"PrimarySchool","WestCoast","Republican"
"Low",94.13,"College","EastCoast","Republican"
"Low",21.99,"PrimarySchool","Central","Democrat"
"Medium",32.58,"HighSchool","WestCoast","Democrat"
"Low",30.52,"PrimarySchool","Central","Democrat"
"Low",87.34,"HighSchool","WestCoast","Democrat"
"High",90.98,"HighSchool","EastCoast","Republican"
"Low",48.34,"College","WestCoast","Republican"
"Low",44.8,"College","Central","Republican"
"Medium",74.15,"PrimarySchool","EastCoast","Republican"
"Medium",34.88,"PrimarySchool","EastCoast","Republican"
"High",46.33,"PrimarySchool","Central","Republican"
"Low",58.01,"PrimarySchool","WestCoast","Republican"
"Medium",59.02,"HighSchool","EastCoast","Republican"
"High",86.23,"College","WestCoast","Republican"
"High",27.31,"HighSchool","Central","Republican"
"Medium",34.11,"College","WestCoast","Democrat"
"Low",22.71,"College","EastCoast","Democrat"
"Low",89.5,"HighSchool","WestCoast","Democrat"
"High",93.56,"College","WestCoast","Republican"
"Medium",46.24,"College","EastCoast","Democrat"
"Low",43.6,"HighSchool","Central","Republican"
"High",90.97,"PrimarySchool","WestCoast","Republican"
"Low",47.38,"HighSchool","Central","Democrat"
"Medium",64.63,"College","Central","Republican"
"Medium",93.1,"College","Central","Republican"
"High",41.78,"College","Central","Republican"
"High",41.2,"College","WestCoast","Republican"
"Low",24.36,"College","EastCoast","Democrat"
"High",67.24,"College","WestCoast","Republican"
"Low",41.66,"HighSchool","WestCoast","Democrat"
"Medium",79.75,"PrimarySchool","WestCoast","Republican"
"Low",26.95,"HighSchool","Central","Republican"
"Medium",38.45,"PrimarySchool","Central","Republican"
"Low",37.6,"PrimarySchool","EastCoast","Republican"
"Medium",80.3,"HighSchool","EastCoast","Democrat"
"Medium",30.11,"College","EastCoast","Democrat"
"Medium",41.7,"HighSchool","Central","Republican"
"Low",64.1,"College","Central","Republican"
"Low",93.04,"PrimarySchool","EastCoast","Republican"
"Low",38.28,"PrimarySchool","WestCoast","Republican"
"Medium",71.71,"College","EastCoast","Republican"
"High",41.02,"College","EastCoast","Republican"
"High",30.02,"PrimarySchool","WestCoast","Republican"
"High",84.76,"PrimarySchool","Central","Republican"
"Low",38.21,"HighSchool","EastCoast","Republican"
"High",52.78,"HighSchool","EastCoast","Republican"
"High",86.88,"College","WestCoast","Republican"
"Medium",64.48,"HighSchool","EastCoast","Democrat"
"Medium",51.81,"College","WestCoast","Republican"
"High",72.38,"PrimarySchool","Central","Republican"
"Medium",57.75,"HighSchool","Central","Democrat"
"Low",69.81,"PrimarySchool","EastCoast","Republican"
"Medium",37.88,"PrimarySchool","WestCoast","Democrat"
"Low",70.83,"College","EastCoast","Democrat"
"High",69.1,"College","WestCoast","Republican"
"High",86.55,"College","Central","Republican"
"Medium",39.77,"PrimarySchool","EastCoast","Republican"
"High",35.72,"PrimarySchool","WestCoast","Republican"
"Low",30.92,"College","EastCoast","Democrat"
"Low",31.17,"HighSchool","Central","Democrat"
"High",53.3,"PrimarySchool","Central","Republican"
"Medium",92.05,"HighSchool","Central","Democrat"
"Low",71.4,"College","WestCoast","Democrat"
"Low",47.13,"College","Central","Republican"
"Medium",56.12,"College","EastCoast","Republican"
"Medium",95.95,"College","Central","Democrat"
"Medium",86.62,"HighSchool","EastCoast","Democrat"
"Medium",84.79,"PrimarySchool","WestCoast","Republican"
"Medium",84.92,"College","Central","Republican"
"Low",75.67,"College","EastCoast","Republican"
"Medium",73.86,"PrimarySchool","EastCoast","Republican"
"Low",87.11,"PrimarySchool","EastCoast","Republican"
"Low",38.08,"HighSchool","EastCoast","Democrat"
"Low",19.5,"PrimarySchool","Central","Republican"
"Low",33.73,"College","WestCoast","Democrat"
"High",86.17,"College","WestCoast","Republican"
"Low",99.51,"PrimarySchool","EastCoast","Republican"
"Medium",69.41,"HighSchool","EastCoast","Democrat"
"High",81.14,"College","Central","Republican"
"Medium",51.06,"HighSchool","WestCoast","Republican"
"Medium",49.15,"PrimarySchool","WestCoast","Republican"
"Medium",57.54,"HighSchool","EastCoast","Democrat"
"Medium",62.57,"College","EastCoast","Democrat"
"Low",78.02,"PrimarySchool","WestCoast","Republican"
"Low",94.93,"PrimarySchool","WestCoast","Republican"
"High",43.41,"PrimarySchool","EastCoast","Republican"
"Low",80.07,"HighSchool","Central","Democrat"
"High",20.28,"HighSchool","Central","Republican"
"Low",27.31,"College","Central","Democrat"
"Medium",36.15,"College","Central","Democrat"
"Medium",39.93,"PrimarySchool","Central","Democrat"
"Low",55.87,"HighSchool","WestCoast","Republican"
"High",44.53,"College","Central","Republican"
"Low",48.7,"PrimarySchool","WestCoast","Republican"
"Medium",84.54,"HighSchool","WestCoast","Republican"
"High",78.96,"College","Central","Republican"
"Low",40.85,"PrimarySchool","EastCoast","Republican"
"High",42.96,"College","EastCoast","Republican"
"Medium",46.81,"College","WestCoast","Democrat"
"Low",42.29,"PrimarySchool","EastCoast","Republican"
"Low",76.02,"College","Central","Republican"
"High",57.11,"College","EastCoast","Republican"
"Low",48.31,"PrimarySchool","WestCoast","Republican"
"Medium",97.02,"HighSchool","EastCoast","Republican"
"High",26.43,"HighSchool","WestCoast","Republican"
"Low",52.84,"HighSchool","WestCoast","Democrat"
"Low",68.13,"HighSchool","EastCoast","Democrat"
"Low",86.32,"PrimarySchool","WestCoast","Republican"
"Low",63.64,"College","Central","Republican"
"Medium",67.14,"College","EastCoast","Democrat"
"Medium",88.96,"PrimarySchool","WestCoast","Republican"
"High",56,"College","WestCoast","Republican"
"Medium",49.57,"HighSchool","Central","Republican"
"High",31.99,"College","WestCoast","Republican"
"Low",27.72,"PrimarySchool","Central","Democrat"
"Medium",97.87,"College","WestCoast","Democrat"
"Medium",76.59,"PrimarySchool","WestCoast","Republican"
"High",42.46,"PrimarySchool","Central","Republican"
"High",78.58,"PrimarySchool","WestCoast","Republican"
"Low",68.87,"HighSchool","WestCoast","Democrat"
"High",84.01,"College","EastCoast","Republican"
"Medium",27.84,"HighSchool","Central","Republican"
"Medium",34.62,"PrimarySchool","WestCoast","Republican"
"Medium",36.03,"College","Central","Democrat"
"Low",92.86,"College","WestCoast","Democrat"
"High",32.75,"PrimarySchool","Central","Republican"
"High",51.57,"HighSchool","EastCoast","Republican"
"High",20.9,"College","EastCoast","Republican"
"High",87.37,"HighSchool","Central","Republican"
"Low",40.07,"HighSchool","EastCoast","Republican"
"Medium",68.64,"PrimarySchool","Central","Republican"
"Medium",49.34,"College","EastCoast","Republican"
"Medium",59.66,"HighSchool","Central","Republican"
"Low",44.94,"HighSchool","Central","Republican"
"Low",49.04,"PrimarySchool","WestCoast","Republican"
"High",34.63,"PrimarySchool","EastCoast","Republican"
"Medium",79.57,"HighSchool","Central","Republican"
"Medium",27.47,"College","Central","Democrat"
"Low",82.95,"College","Central","Democrat"
"High",41.72,"HighSchool","Central","Republican"
"Low",21.18,"HighSchool","WestCoast","Republican"
"Medium",28.87,"College","WestCoast","Democrat"
"Medium",39.09,"PrimarySchool","EastCoast","Republican"
"High",46.02,"College","Central","Republican"
"Low",72.5,"HighSchool","WestCoast","Republican"
"Low",81.25,"HighSchool","WestCoast","Republican"
"Low",57.21,"College","EastCoast","Democrat"
"Medium",72.62,"PrimarySchool","EastCoast","Republican"
"High",53.96,"HighSchool","EastCoast","Republican"
"Medium",23.92,"HighSchool","EastCoast","Democrat"
"High",84.25,"PrimarySchool","Central","Republican"
"Medium",58.47,"HighSchool","Central","Democrat"
"High",61.93,"PrimarySchool","EastCoast","Republican"
"High",80.76,"PrimarySchool","EastCoast","Republican"
"Medium",98.67,"College","Central","Republican"
"High",29.99,"College","WestCoast","Republican"
"Medium",73.03,"PrimarySchool","Central","Republican"
"Low",74.39,"HighSchool","WestCoast","Democrat"
"Low",56.57,"HighSchool","EastCoast","Republican"
"High",57.27,"PrimarySchool","EastCoast","Republican"
"Medium",77.33,"College","Central","Democrat"
"Low",99.05,"College","EastCoast","Democrat"
"Medium",64.8,"College","WestCoast","Democrat"
"Low",40.72,"College","EastCoast","Democrat"
"Low",34.41,"HighSchool","Central","Democrat"
"Medium",60.14,"College","Central","Democrat"
"High",57.77,"PrimarySchool","EastCoast","Republican"
"Medium",48.8,"College","WestCoast","Republican"
"Low",29.08,"HighSchool","WestCoast","Democrat"
"Medium",53.98,"College","WestCoast","Democrat"
"High",30.09,"PrimarySchool","Central","Republican"
"Low",70.3,"College","EastCoast","Republican"
"Low",42.2,"College","WestCoast","Republican"
"Medium",33.85,"PrimarySchool","Central","Democrat"
"Low",76.92,"HighSchool","EastCoast","Democrat"
"High",87.93,"PrimarySchool","EastCoast","Republican"
"Medium",21.56,"HighSchool","EastCoast","Democrat"
"Medium",42.09,"HighSchool","WestCoast","Democrat"
"Medium",52.03,"PrimarySchool","Central","Republican"
"Medium",31.76,"HighSchool","WestCoast","Democrat"
"Medium",81.59,"HighSchool","EastCoast","Democrat"
"High",55.58,"PrimarySchool","WestCoast","Republican"
"Low",30.9,"College","Central","Democrat"
