"DJ","Music","Day","Attendance","Rating"
"Monique","Jazz","Saturday",124,4.4
"Mski","Techno","Friday",184,2.4
"Mski","HipHop","Friday",149,3.3
"Blue","HipHop","Thursday",198,3.7
"Monique","HipHop","Thursday",84,2.9
"Monique","Techno","Friday",65,1.7
"Ania","Techno","Saturday",162,3.1
"Monique","Techno","Saturday",126,3.2
"Ania","Techno","Saturday",130,4.5
"Blue","Rock","Thursday",182,2.4
"Brejcha","HipHop","Thursday",142,1.8
"Mski","Jazz","Saturday",42,1.7
"Brejcha","Rock","Friday",192,1.6
"Brejcha","Rock","Saturday",63,3.8
"Monique","Techno","Thursday",72,2.5
"Blue","Rock","Thursday",157,3.7
"Brejcha","Techno","Thursday",140,2.8
"Mski","HipHop","Saturday",36,3.7
"Brejcha","HipHop","Friday",119,3.9
"Brejcha","Rock","Thursday",176,2.1
"Ania","HipHop","Thursday",23,3.6
"Ania","Techno","Saturday",172,2.6
"Blue","Rock","Thursday",195,4.8
"Mski","Jazz","Saturday",43,4.2
"Mski","HipHop","Saturday",43,2.5
"Brejcha","Rock","Saturday",198,1.1
"Mski","HipHop","Friday",112,4.9
"Ania","Techno","Saturday",149,1.8
"Brejcha","Rock","Saturday",56,4.7
"Ania","Jazz","Thursday",134,4.2
"Blue","HipHop","Thursday",116,4.2
"Brejcha","Techno","Saturday",42,4.8
"Brejcha","Rock","Friday",89,3.5
"Monique","Jazz","Friday",173,4.8
"Blue","Jazz","Friday",91,3.3
"Ania","HipHop","Friday",128,4.8
"Mski","Rock","Saturday",91,1.1
"Mski","HipHop","Saturday",129,1.6
"Brejcha","Jazz","Thursday",184,1.3
"Brejcha","Rock","Saturday",105,4.3
"Mski","HipHop","Thursday",175,1.9
"Monique","HipHop","Friday",90,3
"Monique","HipHop","Thursday",96,3.1
"Blue","Rock","Friday",89,4.4
"Blue","Techno","Thursday",184,4.6
"Monique","HipHop","Thursday",102,3.2
"Ania","HipHop","Saturday",128,1.7
"Blue","HipHop","Saturday",106,1.8
"Ania","Techno","Thursday",121,3.5
"Ania","Jazz","Thursday",191,3.8
"Ania","Techno","Friday",107,1.1
"Brejcha","Rock","Saturday",98,2.9
"Blue","Rock","Thursday",39,5
"Monique","Jazz","Thursday",30,2.3
"Ania","Techno","Saturday",139,2.7
"Monique","Rock","Friday",42,1.8
"Brejcha","Jazz","Thursday",80,1.1
"Blue","HipHop","Thursday",64,4.2
"Monique","Jazz","Saturday",71,4.4
"Brejcha","Jazz","Friday",60,4.1
"Blue","Rock","Thursday",39,4.6
"Brejcha","HipHop","Friday",126,2.4
"Blue","Techno","Thursday",164,4.1
"Blue","Rock","Thursday",155,4.6
"Brejcha","Rock","Thursday",131,4.3
"Ania","Techno","Thursday",150,3.4
"Blue","Techno","Friday",108,2.7
"Mski","Jazz","Saturday",51,4.5
"Monique","Rock","Thursday",168,4.6
"Blue","Rock","Thursday",135,3.3
"Brejcha","Jazz","Saturday",117,2.6
"Mski","Techno","Thursday",160,2.1
"Mski","HipHop","Thursday",162,1.1
"Mski","Techno","Friday",149,1.9
"Ania","Rock","Friday",160,4.9
"Mski","Jazz","Saturday",37,2.2
"Monique","Jazz","Thursday",97,4.5
"Blue","Techno","Saturday",160,4
"Blue","Jazz","Saturday",101,4.1
"Mski","HipHop","Thursday",165,1.2
"Ania","Jazz","Friday",33,1.4
"Brejcha","Techno","Friday",145,4.8
"Mski","Rock","Friday",23,4.3
"Brejcha","HipHop","Thursday",52,2
"Brejcha","Rock","Saturday",153,2.8
"Blue","HipHop","Thursday",114,2.4
"Ania","Rock","Saturday",91,4.5
"Ania","Rock","Friday",58,3.1
"Brejcha","Techno","Saturday",140,4.9
"Mski","Jazz","Saturday",66,4.2
"Mski","Techno","Friday",30,2.2
"Blue","Jazz","Saturday",104,4.3
"Mski","Techno","Friday",51,3.8
"Blue","Techno","Thursday",84,2.1
"Ania","Techno","Saturday",75,4.7
"Mski","Techno","Friday",124,2
"Ania","HipHop","Thursday",58,4.5
"Blue","Rock","Friday",121,1.4
"Blue","Rock","Thursday",56,3.1
"Blue","HipHop","Saturday",69,1
"Monique","HipHop","Saturday",44,2.1
"Blue","HipHop","Friday",51,3
"Blue","Jazz","Thursday",99,3.9
"Brejcha","Techno","Thursday",142,1.5
"Ania","Techno","Saturday",127,4
"Mski","Rock","Friday",56,1.8
"Mski","Rock","Saturday",56,1.8
"Brejcha","HipHop","Friday",127,1.2
"Blue","Jazz","Thursday",55,1.2
"Blue","HipHop","Friday",181,3.3
"Brejcha","HipHop","Thursday",29,3.8
"Blue","Rock","Friday",133,4.4
"Blue","Jazz","Thursday",87,3
"Monique","Jazz","Thursday",39,4.4
"Blue","HipHop","Thursday",158,1.9
"Mski","Rock","Friday",28,3.6
"Ania","Rock","Friday",47,3
"Monique","Rock","Saturday",39,2
"Ania","Rock","Thursday",152,4.4
"Blue","Techno","Thursday",108,2.7
"Mski","HipHop","Saturday",59,3.4
"Monique","HipHop","Saturday",20,1.2
"Ania","HipHop","Saturday",47,2.7
"Blue","Rock","Saturday",43,1
"Mski","HipHop","Saturday",180,2
"Mski","Jazz","Friday",135,4.1
"Brejcha","Rock","Friday",111,3.1
"Brejcha","Jazz","Thursday",95,3
"Ania","HipHop","Friday",58,2.6
"Brejcha","Rock","Friday",108,4.5
"Ania","HipHop","Friday",110,3.1
"Brejcha","HipHop","Saturday",200,4.3
"Monique","Rock","Saturday",76,4.2
"Mski","Rock","Saturday",59,1.7
"Monique","Jazz","Thursday",111,4.4
"Monique","Rock","Friday",176,1.5
"Monique","HipHop","Saturday",20,1.3
"Ania","HipHop","Friday",45,4.2
"Ania","HipHop","Saturday",192,3.8
"Brejcha","HipHop","Saturday",35,1
"Ania","Techno","Thursday",157,2.4
"Monique","HipHop","Thursday",160,4
"Blue","Rock","Thursday",87,3.9
"Ania","Rock","Saturday",23,1.1
"Blue","Rock","Thursday",64,1.1
"Blue","Techno","Friday",48,1.2
"Blue","HipHop","Saturday",145,5
"Brejcha","Techno","Thursday",80,3.5
"Ania","HipHop","Friday",148,2.9
"Brejcha","Jazz","Thursday",55,2.1
"Mski","HipHop","Thursday",199,2.7
"Mski","HipHop","Saturday",199,3.2
"Brejcha","Rock","Thursday",166,3.4
"Mski","Jazz","Friday",41,3.5
"Mski","Techno","Friday",42,1.7
"Ania","Techno","Saturday",82,1.6
"Mski","HipHop","Friday",97,3
"Brejcha","Techno","Thursday",23,2.2
"Ania","Techno","Friday",89,3.7
"Mski","Rock","Thursday",30,3.3
"Blue","Rock","Friday",40,2.5
"Blue","Techno","Saturday",140,3.5
"Monique","Techno","Thursday",163,4.3
"Mski","Techno","Thursday",76,3.3
"Mski","Jazz","Friday",87,2.3
"Blue","Jazz","Thursday",72,2.1
"Ania","HipHop","Friday",41,3.9
"Brejcha","HipHop","Saturday",146,1.7
"Mski","HipHop","Thursday",39,2.6
"Mski","Jazz","Thursday",156,3.8
"Monique","HipHop","Saturday",20,1.1
"Mski","Rock","Saturday",36,2.8
"Ania","Rock","Friday",76,3.5
"Monique","Rock","Thursday",191,2.6
"Ania","Techno","Friday",117,3.2
"Ania","HipHop","Saturday",21,2.7
"Mski","Jazz","Friday",108,4.1
"Ania","Techno","Saturday",83,1
"Ania","Rock","Saturday",158,4.8
"Blue","Jazz","Friday",92,3.4
"Blue","Techno","Thursday",124,3.1
"Monique","Rock","Thursday",123,1
"Ania","HipHop","Friday",23,4.6
"Mski","Jazz","Saturday",43,1.3
"Brejcha","Techno","Saturday",36,3.1
"Monique","Rock","Saturday",52,2.2
"Blue","HipHop","Saturday",148,2.2
"Monique","HipHop","Friday",122,3.5
"Ania","Jazz","Saturday",70,2.3
"Monique","HipHop","Friday",200,4.6
"Mski","Techno","Saturday",140,4.3
"Blue","HipHop","Thursday",71,1.4
"Monique","HipHop","Thursday",96,3.1
"Brejcha","Jazz","Thursday",85,4.8
"Mski","HipHop","Friday",139,4.1
"Ania","Rock","Friday",96,1.4
"Ania","HipHop","Friday",73,3.2
"Brejcha","Jazz","Friday",98,2.3
"Mski","HipHop","Saturday",90,1.7
"Brejcha","Jazz","Friday",128,2.7
"Blue","Rock","Friday",74,3.2
"Ania","Techno","Saturday",42,4.1
"Blue","Techno","Thursday",68,1.7
"Ania","Techno","Saturday",170,4.2
"Mski","Rock","Thursday",91,1.1
"Blue","HipHop","Saturday",148,3.4
"Brejcha","Jazz","Saturday",67,1.7
"Ania","Jazz","Thursday",137,2.6
"Mski","Jazz","Saturday",66,1.3
"Ania","Rock","Saturday",54,4.4
"Brejcha","Jazz","Thursday",154,1.5
"Blue","HipHop","Thursday",93,2.7
"Monique","Techno","Saturday",143,1.9
"Mski","HipHop","Friday",113,2.5
"Monique","Jazz","Saturday",54,4.1
"Monique","Rock","Friday",75,4.8
"Blue","Jazz","Saturday",77,2.4
"Ania","Jazz","Thursday",51,4.4
"Monique","Techno","Friday",166,2.3
"Brejcha","Rock","Thursday",172,3.7
"Mski","Rock","Friday",67,1.5
"Ania","Rock","Saturday",177,4.3
"Ania","HipHop","Friday",172,2.8
"Ania","Techno","Saturday",167,4.3
"Monique","Techno","Thursday",123,4.3
"Ania","Techno","Thursday",163,1.8
"Monique","Techno","Thursday",129,4.1
"Monique","Rock","Saturday",31,4.5
"Mski","HipHop","Friday",180,4.1
"Brejcha","Techno","Thursday",57,4.3
"Mski","Techno","Saturday",38,3.7
"Monique","Jazz","Thursday",200,4.9
"Brejcha","Techno","Saturday",194,1.5
"Brejcha","Jazz","Saturday",144,4.3
"Ania","Rock","Thursday",164,3.4
"Ania","Jazz","Thursday",62,4.3
"Mski","Rock","Friday",48,2.1
"Blue","Rock","Friday",116,1.3
"Monique","Techno","Thursday",187,2.7
"Ania","Techno","Saturday",153,4.3
"Ania","Techno","Saturday",92,4.5
"Monique","Rock","Friday",31,3.1
"Monique","HipHop","Saturday",96,3.1
"Blue","Rock","Friday",126,2.6
"Blue","HipHop","Thursday",70,3.6
"Monique","Jazz","Friday",22,4.1
"Brejcha","Rock","Friday",68,3.7
"Mski","Techno","Friday",26,4.5
"Blue","Jazz","Saturday",97,3.8
"Mski","Techno","Friday",117,4
"Mski","Techno","Friday",76,1.6
"Ania","Rock","Friday",48,2.2
"Monique","HipHop","Saturday",130,3.6
"Monique","HipHop","Saturday",137,3.7
"Brejcha","Jazz","Friday",128,4.2
"Monique","Jazz","Thursday",108,2.9
"Mski","Rock","Thursday",59,1.7
"Blue","Jazz","Thursday",74,2.2
"Ania","HipHop","Saturday",141,2.2
"Blue","Techno","Saturday",104,2.6
"Mski","Jazz","Saturday",52,1.1
"Mski","Jazz","Saturday",62,4.6
"Brejcha","Techno","Friday",185,3.4
"Brejcha","Techno","Friday",171,3.6
"Blue","HipHop","Saturday",28,2.8
"Brejcha","HipHop","Saturday",135,2.5
"Brejcha","Rock","Thursday",162,1.5
"Blue","HipHop","Saturday",127,3.6
"Ania","HipHop","Thursday",124,2.3
"Mski","Techno","Saturday",71,3.6
"Ania","Jazz","Thursday",142,1.3
"Ania","Techno","Friday",32,2.3
"Monique","Jazz","Thursday",119,4.3
"Blue","HipHop","Friday",192,1.9
"Monique","HipHop","Thursday",36,1.9
"Monique","Techno","Saturday",183,3.2
"Mski","Techno","Thursday",109,3.8
"Blue","Techno","Friday",80,2
"Brejcha","Rock","Thursday",126,2.6
"Monique","HipHop","Thursday",160,4
"Mski","Rock","Thursday",27,3.7
"Monique","Techno","Thursday",110,2.4
"Monique","HipHop","Friday",40,2
"Blue","Jazz","Friday",95,3.6
"Mski","Rock","Saturday",23,4.3
"Monique","Techno","Thursday",54,3.2
"Ania","Rock","Saturday",180,2.9
"Brejcha","Techno","Friday",29,3.2
"Monique","Techno","Saturday",165,3.7
"Ania","HipHop","Saturday",133,3.7
"Blue","HipHop","Thursday",185,3.7
"Ania","Rock","Friday",108,4.7
"Mski","Techno","Friday",46,4.1
"Brejcha","HipHop","Thursday",96,3.6
"Brejcha","Rock","Saturday",176,3.1
"Monique","HipHop","Friday",176,4.2
"Blue","Techno","Friday",148,3.7
"Brejcha","HipHop","Thursday",85,1.9
"Brejcha","Jazz","Thursday",165,2.2
"Blue","HipHop","Thursday",96,2.3
"Brejcha","Techno","Friday",180,1.1
"Ania","HipHop","Saturday",179,4.5
"Ania","HipHop","Saturday",77,4.3
"Monique","Jazz","Thursday",41,4.2
"Monique","HipHop","Thursday",96,3.1
"Blue","HipHop","Thursday",120,3.4
"Brejcha","HipHop","Saturday",20,1.8
"Blue","HipHop","Friday",96,1.7
"Ania","Rock","Saturday",45,1.7
"Brejcha","Jazz","Thursday",106,4.2
"Mski","HipHop","Friday",79,2.9
"Blue","Techno","Friday",112,2.8
"Mski","Jazz","Thursday",81,1.1
"Monique","HipHop","Saturday",160,4
"Ania","Techno","Thursday",143,4.6
"Blue","HipHop","Thursday",176,2.2
"Brejcha","Jazz","Friday",142,2.6
"Monique","Techno","Friday",78,1.2
"Brejcha","Rock","Friday",29,3.1
"Brejcha","Jazz","Friday",98,1.4
"Mski","Rock","Friday",27,3.7
"Blue","Techno","Thursday",72,1.8
"Ania","HipHop","Saturday",55,1.2
"Ania","Rock","Saturday",145,2
"Monique","Rock","Saturday",121,4.8
"Ania","Rock","Friday",48,1.9
"Monique","Rock","Thursday",108,4.8
"Mski","Techno","Friday",180,1.1
"Blue","HipHop","Saturday",119,1.2
"Mski","Rock","Saturday",20,5
"Monique","Rock","Thursday",22,1.4
"Brejcha","Techno","Thursday",171,1.7
"Mski","Rock","Thursday",29,3.5
"Brejcha","HipHop","Thursday",140,4.7
"Ania","Rock","Saturday",159,4.1
"Brejcha","Jazz","Thursday",44,1.8
"Ania","Techno","Saturday",40,1
"Blue","HipHop","Thursday",136,3.2
"Ania","HipHop","Friday",153,5
"Monique","Techno","Friday",151,3.5
"Monique","Jazz","Thursday",145,1.7
"Mski","Rock","Friday",56,1.8
"Monique","Rock","Saturday",156,2.6
"Blue","Techno","Saturday",84,2.1
"Brejcha","Techno","Saturday",171,2.9
"Blue","HipHop","Thursday",73,2.7
"Ania","Jazz","Friday",130,2.4
"Mski","Jazz","Friday",119,5
"Ania","Techno","Friday",128,2.1
"Mski","Jazz","Friday",93,1.2
"Blue","Jazz","Thursday",88,3.1
"Ania","Jazz","Saturday",25,3.6
"Monique","Jazz","Thursday",178,4.7
"Monique","Techno","Saturday",120,4.5
"Ania","Jazz","Saturday",72,4.6
"Monique","Jazz","Friday",151,2.9
"Blue","HipHop","Thursday",87,1.3
"Blue","Rock","Saturday",67,4.5
"Blue","HipHop","Saturday",41,2.2
"Blue","Rock","Saturday",40,1.8
"Monique","HipHop","Thursday",200,4.8
"Monique","Techno","Saturday",62,1.6
"Monique","Jazz","Thursday",98,4.8
"Brejcha","Techno","Friday",184,2.1
"Brejcha","HipHop","Friday",68,1.6
"Brejcha","HipHop","Friday",119,2.2
"Monique","Jazz","Saturday",129,4.9
"Blue","Techno","Thursday",60,1.5
"Mski","HipHop","Friday",41,1.7
"Ania","Jazz","Thursday",179,4.4
"Ania","HipHop","Thursday",69,2.1
"Monique","HipHop","Saturday",200,4.9
"Brejcha","Rock","Thursday",105,3.3
"Monique","HipHop","Friday",53,2.3
"Mski","Rock","Saturday",37,2.7
"Brejcha","Techno","Saturday",22,4.4
"Blue","Techno","Thursday",44,1.1
"Mski","Rock","Saturday",77,1.3
"Brejcha","HipHop","Saturday",29,1.4
"Blue","HipHop","Thursday",58,2.9
"Blue","Techno","Friday",168,4.2
"Monique","HipHop","Friday",109,3.3
"Blue","HipHop","Saturday",145,1
"Blue","Techno","Saturday",52,1.3
"Mski","HipHop","Friday",153,3.7
"Monique","Techno","Thursday",149,1.4
"Monique","Techno","Saturday",104,1.3
"Ania","HipHop","Saturday",36,4.2
"Ania","Rock","Thursday",153,2.7
"Brejcha","HipHop","Thursday",83,1.5
"Blue","Techno","Thursday",116,2.9
"Monique","Jazz","Friday",74,4.3
"Mski","HipHop","Saturday",45,4.6
"Monique","Techno","Saturday",77,1.7
"Brejcha","Jazz","Thursday",146,2.3
"Blue","HipHop","Friday",158,4
"Monique","Techno","Saturday",175,2.2
"Monique","Techno","Thursday",173,2.4
"Mski","Techno","Friday",76,4.2
"Monique","Techno","Saturday",93,3.9
"Ania","Jazz","Thursday",27,2.4
"Ania","Jazz","Saturday",110,2.2
"Monique","HipHop","Saturday",144,3.8
"Blue","Rock","Saturday",66,1.3
"Monique","Techno","Friday",146,4.4
"Blue","Techno","Thursday",88,2.2
"Monique","Rock","Thursday",112,1.9
"Monique","Rock","Friday",138,3.4
"Mski","Rock","Thursday",24,4.1
"Brejcha","Techno","Saturday",88,4.6
"Brejcha","Jazz","Friday",157,2.4
"Ania","Techno","Saturday",160,4.4
"Blue","Rock","Thursday",128,3.7
"Monique","Jazz","Friday",109,3.6
"Mski","Jazz","Friday",155,2.3
"Blue","HipHop","Saturday",130,2
"Brejcha","HipHop","Friday",74,4.8
"Blue","HipHop","Friday",174,2.2
"Monique","Techno","Thursday",135,4.4
"Mski","Rock","Saturday",26,3.9
"Monique","Jazz","Thursday",64,2.7
"Blue","Rock","Thursday",67,3.3
"Monique","Rock","Thursday",129,1
"Monique","Techno","Friday",92,1.8
"Blue","HipHop","Thursday",121,4.6
"Brejcha","Techno","Friday",50,3.6
"Brejcha","Jazz","Thursday",83,2.7
"Mski","Rock","Thursday",32,3.1
"Monique","Techno","Saturday",159,1.4
"Mski","Jazz","Saturday",114,4.7
"Brejcha","Rock","Friday",37,3.2
"Mski","Techno","Saturday",35,2.1
"Blue","Techno","Friday",120,3
"Blue","Jazz","Saturday",65,1.7
"Ania","Jazz","Thursday",39,2.3
"Mski","Techno","Thursday",82,1.9
"Brejcha","Techno","Thursday",118,4.4
"Mski","Jazz","Thursday",85,3.6
"Blue","Jazz","Saturday",67,1.8
"Monique","Rock","Friday",123,3.5
"Ania","Techno","Saturday",140,3.3
"Ania","HipHop","Thursday",62,2.2
"Mski","Techno","Thursday",184,1.4
"Monique","HipHop","Thursday",32,1.8
"Monique","Jazz","Friday",22,3.6
"Brejcha","Techno","Friday",161,1.6
"Blue","Techno","Saturday",140,3.5
"Ania","Rock","Thursday",181,2.6
"Mski","Jazz","Saturday",152,1.3
"Ania","Jazz","Friday",21,2.9
"Blue","Techno","Thursday",96,2.4
"Ania","Jazz","Thursday",70,4.5
"Monique","Rock","Friday",181,4
"Mski","Jazz","Saturday",168,4.8
"Ania","Rock","Friday",68,4.5
"Blue","HipHop","Saturday",138,2.5
"Brejcha","Techno","Thursday",172,3.8
"Ania","Techno","Thursday",194,3.9
"Mski","Jazz","Thursday",134,2.5
"Ania","HipHop","Thursday",60,3
"Monique","HipHop","Saturday",200,4.9
"Ania","Rock","Friday",116,1.1
"Monique","Jazz","Friday",80,2.3
"Brejcha","Techno","Thursday",190,3.3
"Ania","HipHop","Saturday",48,1.5
"Brejcha","Techno","Thursday",146,2.7
"Brejcha","Jazz","Thursday",137,2
"Monique","Rock","Saturday",192,4.5
"Monique","Techno","Saturday",105,4.6
"Mski","Techno","Thursday",64,3.2
"Brejcha","Jazz","Saturday",42,2.4
"Blue","Jazz","Friday",97,3.8
"Mski","Techno","Friday",151,3.8
"Mski","HipHop","Saturday",68,4.3
"Ania","Techno","Friday",156,4.8
"Brejcha","Techno","Thursday",109,4.9
"Mski","Jazz","Friday",91,2.5
"Ania","Techno","Thursday",193,1.9
"Mski","Jazz","Thursday",164,2
"Monique","Rock","Saturday",124,3.4
"Monique","Techno","Saturday",81,2.2
"Monique","Rock","Thursday",185,1.8
"Brejcha","Rock","Thursday",80,5
"Mski","HipHop","Friday",90,1
"Ania","Techno","Thursday",49,1.9
"Brejcha","Jazz","Thursday",33,1.3
"Mski","Rock","Saturday",29,3.5
"Mski","Rock","Friday",25,4
"Monique","Techno","Thursday",23,4.2
"Brejcha","Rock","Friday",80,4.6
"Monique","Techno","Friday",76,1.5
"Mski","HipHop","Friday",59,1.9
"Ania","Jazz","Thursday",24,3.7
"Blue","HipHop","Thursday",158,3.5
"Ania","Jazz","Saturday",132,4.3
"Ania","HipHop","Saturday",94,2.3
"Monique","HipHop","Saturday",90,3
"Blue","HipHop","Friday",66,3.3
"Ania","Jazz","Saturday",98,1.9
"Blue","Techno","Saturday",88,2.2
"Monique","Jazz","Friday",112,2.7
"Brejcha","Rock","Saturday",149,3.8
"Brejcha","Rock","Friday",110,3.6
"Blue","Jazz","Saturday",100,4
"Monique","HipHop","Saturday",48,2.2
"Blue","Rock","Saturday",61,4.9
"Ania","Techno","Saturday",178,4
"Ania","Jazz","Saturday",159,4.5
"Brejcha","HipHop","Friday",133,2.6
"Brejcha","Techno","Friday",189,1.5
"Ania","Techno","Thursday",74,2
"Ania","Jazz","Thursday",129,1.6
"Mski","Techno","Saturday",24,4.7
"Ania","HipHop","Saturday",45,2.3
"Monique","Jazz","Friday",69,1.3
"Blue","Techno","Saturday",112,2.8
"Monique","Jazz","Saturday",117,3.5
"Ania","HipHop","Thursday",191,3.1
"Mski","HipHop","Saturday",71,2.6
"Monique","Techno","Saturday",43,1.8
"Ania","HipHop","Thursday",111,2.8
"Monique","Techno","Saturday",107,1.2
"Blue","HipHop","Friday",97,2.8
"Brejcha","Jazz","Thursday",74,4.9
"Brejcha","Rock","Thursday",104,1.8
"Ania","Techno","Friday",158,4.4
"Mski","Rock","Saturday",48,2.1
"Brejcha","HipHop","Saturday",157,1.2
"Blue","Techno","Friday",88,2.2
"Brejcha","Rock","Thursday",89,3.7
"Ania","Techno","Thursday",20,4.3
"Mski","Rock","Friday",26,3.8
"Brejcha","Techno","Friday",176,4.3
"Monique","Jazz","Saturday",106,1.7
"Mski","Jazz","Friday",198,4.1
"Ania","Jazz","Friday",193,2.8
"Ania","HipHop","Thursday",37,4.3
"Monique","Rock","Friday",41,2.3
"Monique","Techno","Saturday",155,4.9
"Brejcha","Jazz","Saturday",35,3.2
"Mski","Rock","Saturday",20,5
"Blue","Rock","Thursday",161,3.9
"Blue","Rock","Thursday",87,2.3
"Monique","Jazz","Friday",167,1.4
"Brejcha","HipHop","Thursday",69,1.2
"Brejcha","Jazz","Thursday",75,3
"Brejcha","Jazz","Friday",199,3.8
"Blue","Rock","Friday",131,3.3
"Blue","Jazz","Thursday",69,1.9
"Mski","Techno","Friday",141,4.1
"Ania","HipHop","Friday",118,3.6
"Blue","Techno","Friday",76,1.9
"Brejcha","Rock","Thursday",129,1.5
"Brejcha","HipHop","Saturday",164,1.2
"Mski","Techno","Saturday",149,3.8
"Ania","HipHop","Saturday",77,1.9
"Blue","Jazz","Saturday",59,1.4
"Ania","Jazz","Thursday",184,4.4
"Ania","Rock","Thursday",124,4.9
"Blue","HipHop","Saturday",196,4.2
"Brejcha","Jazz","Thursday",193,1.7
"Ania","Rock","Friday",28,2.9
"Blue","Techno","Thursday",180,4.5
"Brejcha","Rock","Thursday",58,2.5
"Brejcha","Jazz","Saturday",175,1.7
"Blue","HipHop","Thursday",58,3.3
"Monique","HipHop","Friday",130,3.6
"Ania","Rock","Thursday",118,1
"Blue","Jazz","Thursday",76,2.3
"Monique","HipHop","Friday",62,2.5
"Blue","Techno","Saturday",160,4
"Blue","Rock","Thursday",149,3.4
"Brejcha","Jazz","Saturday",128,4.6
"Ania","Techno","Thursday",136,1.4
"Brejcha","HipHop","Friday",81,4.8
"Brejcha","Techno","Saturday",158,3.5
"Monique","HipHop","Saturday",116,3.4
"Ania","Techno","Thursday",114,4.3
"Mski","Rock","Friday",67,1.5
"Ania","Jazz","Friday",179,3.8
"Monique","Techno","Saturday",92,1.9
"Brejcha","Techno","Saturday",39,1.1
"Brejcha","Rock","Friday",137,4.9
"Ania","HipHop","Friday",183,2.9
"Monique","Rock","Thursday",67,3.2
"Brejcha","Rock","Thursday",164,4.1
"Mski","Techno","Friday",22,2.3
"Brejcha","HipHop","Thursday",145,3.7
"Blue","Jazz","Saturday",97,3.8
"Mski","Rock","Saturday",45,2.2
"Blue","Techno","Thursday",52,1.3
"Blue","Jazz","Thursday",102,4.2
"Monique","Jazz","Saturday",154,2.3
"Monique","Techno","Friday",172,4.4
"Ania","HipHop","Saturday",137,1.8
"Monique","Jazz","Friday",162,4.3
"Monique","Rock","Friday",105,1
"Ania","Jazz","Thursday",77,1.8
"Monique","HipHop","Friday",137,3.7
"Blue","HipHop","Saturday",61,4
"Mski","Techno","Thursday",167,2.2
"Brejcha","Jazz","Thursday",54,3.8
"Ania","Jazz","Saturday",111,3.4
"Monique","HipHop","Saturday",109,3.3
"Ania","HipHop","Thursday",124,4.2
"Monique","Rock","Friday",29,3.7
"Ania","Jazz","Friday",137,2.9
"Brejcha","Rock","Friday",139,3.4
"Blue","Jazz","Saturday",105,4.4
"Mski","Jazz","Friday",27,5
"Brejcha","HipHop","Thursday",153,1.7
"Mski","Rock","Friday",27,3.7
"Brejcha","Rock","Thursday",118,3
"Brejcha","Jazz","Friday",197,2
"Mski","HipHop","Friday",170,1.6
"Ania","Techno","Saturday",112,4.4
"Brejcha","Jazz","Friday",127,4.6
"Mski","Techno","Thursday",192,3.8
"Brejcha","Techno","Saturday",46,4.1
"Ania","HipHop","Thursday",157,2.8
"Monique","HipHop","Thursday",20,1.4
"Mski","Jazz","Saturday",34,3.4
"Brejcha","HipHop","Friday",33,4
"Blue","Jazz","Thursday",63,1.6
"Brejcha","Techno","Thursday",102,3.7
"Monique","Rock","Thursday",76,1.7
"Brejcha","HipHop","Thursday",36,4
"Ania","Techno","Thursday",95,5
"Blue","Rock","Friday",66,4.9
"Mski","Rock","Thursday",31,3.2
"Monique","Techno","Friday",187,1.8
"Monique","Jazz","Friday",25,3.8
"Monique","Techno","Thursday",34,3.4
"Monique","Jazz","Saturday",164,2.7
"Brejcha","Rock","Friday",172,4.2
"Ania","Rock","Thursday",69,1.7
"Brejcha","Rock","Saturday",170,2.8
"Ania","Jazz","Friday",67,1.4
"Blue","Rock","Thursday",34,2.4
"Brejcha","Rock","Saturday",50,2.2
"Brejcha","Jazz","Friday",46,3.5
"Brejcha","Techno","Thursday",71,2.3
"Brejcha","Rock","Thursday",125,4.2
"Ania","Techno","Friday",191,3.5
"Mski","Techno","Saturday",91,1.5
"Mski","Jazz","Friday",23,4.4
"Ania","HipHop","Thursday",30,2.7
"Ania","Jazz","Friday",32,2.7
"Monique","HipHop","Thursday",68,2.6
"Blue","Jazz","Thursday",111,4.9
"Blue","Techno","Thursday",124,3.1
"Brejcha","Rock","Friday",80,2.6
"Ania","HipHop","Saturday",88,4.8
"Mski","Rock","Thursday",24,4.1
"Brejcha","HipHop","Thursday",60,1.8
"Monique","Rock","Friday",189,1.8
"Mski","Rock","Thursday",36,2.8
"Mski","HipHop","Thursday",106,2.1
"Ania","Rock","Thursday",35,1.2
"Mski","Rock","Thursday",45,2.2
"Ania","HipHop","Saturday",124,2.1
"Brejcha","HipHop","Friday",139,3.1
"Brejcha","Rock","Thursday",58,2.8
"Blue","Rock","Friday",100,1.3
"Brejcha","Rock","Friday",198,2.4
"Monique","HipHop","Friday",20,1.1
"Brejcha","HipHop","Friday",110,2.1
"Mski","Jazz","Thursday",136,4.7
"Ania","Techno","Saturday",23,3.6
"Brejcha","HipHop","Thursday",97,4.7
"Brejcha","Rock","Saturday",80,2.9
"Brejcha","HipHop","Friday",131,4.2
"Mski","Rock","Friday",50,2
"Mski","Jazz","Thursday",130,3.2
"Mski","HipHop","Thursday",146,1.5
"Mski","Rock","Thursday",71,1.4
"Ania","Techno","Friday",179,4
"Blue","Rock","Thursday",149,1.1
"Monique","Jazz","Saturday",140,1.5
"Monique","HipHop","Thursday",53,2.3
"Blue","Rock","Friday",84,4.2
"Monique","Jazz","Thursday",183,4.6
"Blue","Jazz","Saturday",84,2.8
"Blue","HipHop","Thursday",155,1.4
