Grade,Score,Dozing ,Texting,Asking
F,5.13,Sometimes,Never,Never
F,0.6,Always,Never,Never
F,38.37,Sometimes,Sometimes,Sometimes
F,15.75,Sometimes,Always,Always
A,87.82,Always,Always,Always
F,34.26,Always,Never,Sometimes
F,13.82,Sometimes,Sometimes,Never
F,46.1,Always,Never,Sometimes
F,13.91,Sometimes,Sometimes,Sometimes
A,95.52,Sometimes,Never,Sometimes
F,1.78,Always,Always,Never
A,96.02,Always,Always,Sometimes
F,24.72,Never,Never,Sometimes
B,80.46,Never,Always,Sometimes
F,37.51,Never,Always,Never
D,58.55,Sometimes,Never,Never
F,34.26,Always,Always,Never
B,88.02,Always,Always,Sometimes
B,82.81,Never,Always,Sometimes
F,37.56,Never,Sometimes,Never
F,15.17,Sometimes,Always,Sometimes
C,70.76,Never,Never,Never
C,60.71,Always,Always,Never
F,40.79,Sometimes,Sometimes,Always
F,13.65,Never,Sometimes,Always
F,6.36,Never,Always,Never
F,38.15,Sometimes,Always,Always
F,36.76,Never,Sometimes,Always
B,80.14,Never,Never,Sometimes
F,10.92,Always,Never,Never
F,20.42,Never,Never,Sometimes
D,55.13,Always,Always,Never
F,8.6,Always,Never,Never
C,68.15,Always,Sometimes,Never
F,3.93,Never,Always,Sometimes
F,39.16,Never,Always,Always
A,97.37,Sometimes,Never,Never
F,34.19,Sometimes,Never,Never
C,62.84,Sometimes,Never,Sometimes
C,74.94,Always,Sometimes,Never
F,14.42,Never,Sometimes,Never
F,18.82,Sometimes,Never,Sometimes
F,7.27,Sometimes,Sometimes,Sometimes
F,13.22,Always,Never,Sometimes
C,65.07,Sometimes,Never,Always
F,12.73,Sometimes,Always,Sometimes
B,88.48,Always,Never,Never
F,36.35,Never,Sometimes,Never
F,41.25,Never,Sometimes,Never
C,69.48,Always,Sometimes,Never
D,53.14,Always,Always,Never
F,39.36,Sometimes,Never,Never
B,81.38,Never,Always,Never
F,0.57,Always,Sometimes,Always
C,74.77,Never,Always,Never
C,74.54,Always,Always,Always
D,54.45,Always,Always,Always
C,64.35,Always,Never,Never
F,34.95,Sometimes,Always,Always
B,89.4,Never,Always,Never
D,58.72,Sometimes,Always,Never
F,45.45,Never,Sometimes,Always
D,57.84,Always,Never,Always
A,92.63,Sometimes,Never,Never
F,9.71,Sometimes,Never,Sometimes
C,78.6,Always,Always,Sometimes
C,63.34,Always,Sometimes,Never
F,46.29,Never,Always,Never
F,46.26,Always,Never,Sometimes
A,93.6,Always,Always,Always
C,74.22,Never,Sometimes,Sometimes
C,72.57,Sometimes,Sometimes,Never
D,58.94,Always,Always,Always
D,55.7,Never,Always,Sometimes
F,44.59,Always,Always,Never
D,58.13,Never,Sometimes,Sometimes
A,89.46,Sometimes,Never,Always
A,96.73,Sometimes,Sometimes,Sometimes
F,36,Always,Always,Never
C,76.69,Never,Sometimes,Always
F,25.43,Never,Sometimes,Never
A,92.97,Sometimes,Sometimes,Never
F,13.71,Always,Never,Sometimes
C,67.03,Always,Never,Sometimes
A,99.35,Never,Always,Always
B,84.29,Sometimes,Sometimes,Never
D,54.67,Never,Always,Sometimes
F,28.99,Never,Sometimes,Sometimes
F,0.76,Never,Always,Sometimes
B,83.09,Always,Always,Sometimes
F,38.07,Never,Never,Sometimes
F,9.05,Always,Sometimes,Always
F,29.57,Always,Sometimes,Sometimes
F,36.71,Sometimes,Sometimes,Never
C,64.95,Sometimes,Always,Sometimes
C,71.07,Sometimes,Always,Sometimes
B,82.49,Never,Always,Never
D,56.75,Always,Never,Never
B,80.1,Never,Sometimes,Always
F,25.78,Never,Sometimes,Sometimes
F,19.22,Always,Never,Never
C,65.03,Always,Sometimes,Sometimes
F,44.26,Sometimes,Always,Never
C,73.03,Never,Sometimes,Always
C,76.42,Always,Never,Always
F,46.32,Never,Always,Always
D,53.24,Always,Always,Always
F,30.86,Always,Always,Sometimes
B,89.48,Never,Never,Never
C,79.88,Never,Never,Never
F,16.93,Never,Sometimes,Sometimes
C,79.09,Sometimes,Sometimes,Sometimes
A,97.19,Never,Never,Always
C,61.52,Always,Never,Sometimes
A,96.8,Never,Sometimes,Never
F,26.61,Never,Always,Never
C,76.91,Never,Never,Always
F,23.16,Sometimes,Always,Sometimes
C,71.8,Sometimes,Never,Always
A,98.96,Sometimes,Always,Always
F,2.16,Always,Sometimes,Never
D,53.26,Never,Always,Sometimes
A,91.6,Always,Sometimes,Never
F,44.61,Always,Never,Never
D,58.97,Always,Never,Sometimes
F,15.95,Sometimes,Never,Always
C,79.73,Sometimes,Always,Always
F,14.38,Always,Always,Never
C,79.31,Always,Never,Never
B,80.24,Always,Sometimes,Never
F,27.23,Sometimes,Never,Never
B,81.18,Never,Sometimes,Always
F,18.81,Sometimes,Sometimes,Never
D,54.52,Never,Always,Always
C,71.91,Always,Always,Never
F,15.95,Always,Sometimes,Always
C,62.49,Never,Sometimes,Never
D,53.44,Sometimes,Sometimes,Never
A,85.99,Sometimes,Never,Always
F,12.9,Always,Never,Always
F,38.27,Always,Sometimes,Always
C,77.87,Always,Always,Never
B,93.79,Sometimes,Never,Never
C,74.73,Sometimes,Always,Never
F,40.56,Never,Always,Always
F,14.3,Never,Never,Always
F,39.2,Sometimes,Sometimes,Never
A,93.61,Never,Sometimes,Never
B,80.58,Never,Always,Sometimes
C,79.89,Never,Sometimes,Never
F,5.55,Sometimes,Always,Sometimes
F,44.91,Always,Never,Sometimes
F,39.34,Never,Never,Sometimes
C,69.01,Sometimes,Always,Never
F,10.99,Never,Always,Always
A,85.78,Never,Sometimes,Always
C,73.71,Never,Always,Always
B,89.08,Always,Sometimes,Never
F,47.25,Sometimes,Always,Never
F,12.4,Never,Sometimes,Sometimes
D,58.98,Always,Always,Never
F,17.53,Sometimes,Always,Sometimes
F,1.15,Never,Sometimes,Never
F,18.81,Sometimes,Sometimes,Sometimes
F,49.77,Sometimes,Sometimes,Never
F,25.52,Sometimes,Never,Sometimes
C,76.28,Sometimes,Always,Never
F,0.52,Never,Sometimes,Always
B,83.11,Never,Never,Sometimes
F,7.15,Sometimes,Never,Sometimes
B,86.22,Never,Never,Sometimes
A,94.46,Never,Never,Always
A,95.9,Never,Sometimes,Always
C,66.33,Never,Always,Always
F,16.47,Never,Always,Never
F,40.15,Sometimes,Never,Always
F,45.11,Always,Always,Always
F,33.83,Always,Always,Never
F,15.1,Never,Always,Sometimes
C,61.71,Never,Sometimes,Sometimes
F,31.91,Sometimes,Sometimes,Sometimes
A,93.06,Never,Never,Never
F,46.2,Never,Never,Always
F,13.46,Sometimes,Always,Sometimes
C,67.86,Never,Never,Never
F,39.3,Always,Always,Never
F,10.54,Always,Always,Sometimes
F,47,Always,Always,Sometimes
F,19.92,Always,Never,Never
A,93.9,Never,Never,Sometimes
C,68.52,Never,Always,Never
C,74.58,Sometimes,Sometimes,Never
F,42.34,Never,Sometimes,Sometimes
A,93.3,Always,Never,Always
F,29.44,Always,Sometimes,Always
C,68.87,Always,Sometimes,Always
F,36.52,Sometimes,Sometimes,Always
D,57.88,Always,Always,Sometimes
F,49.97,Sometimes,Always,Sometimes
A,97.28,Always,Always,Sometimes
D,56.79,Sometimes,Never,Sometimes
F,25.48,Never,Always,Sometimes
A,94.56,Sometimes,Always,Sometimes
F,1.95,Never,Sometimes,Always
F,24.73,Sometimes,Always,Sometimes
F,46.69,Never,Sometimes,Always
C,75.63,Always,Always,Never
C,61.27,Always,Never,Never
C,65.86,Never,Never,Always
C,79.42,Never,Never,Sometimes
C,64.11,Always,Always,Sometimes
F,20.51,Always,Never,Sometimes
F,32.32,Always,Never,Never
F,5.2,Always,Always,Sometimes
B,80.25,Never,Sometimes,Never
F,24.84,Sometimes,Never,Always
D,56.21,Never,Always,Sometimes
D,56.59,Always,Always,Always
F,35.04,Sometimes,Always,Always
A,89.04,Never,Always,Always
B,84.77,Sometimes,Sometimes,Sometimes
D,50.45,Always,Always,Never
F,15.7,Always,Never,Sometimes
C,77.32,Always,Never,Always
A,90.11,Sometimes,Sometimes,Never
F,10.21,Never,Sometimes,Never
C,75.14,Always,Never,Always
B,80.17,Never,Always,Sometimes
D,54.95,Never,Always,Never
C,64.17,Never,Sometimes,Sometimes
F,37.05,Always,Sometimes,Always
A,92.16,Never,Always,Sometimes
A,93.03,Never,Always,Sometimes
F,38.8,Sometimes,Sometimes,Sometimes
F,10.4,Always,Sometimes,Sometimes
B,84.73,Never,Always,Always
B,89.89,Sometimes,Sometimes,Sometimes
A,98.53,Always,Never,Always
C,68.88,Sometimes,Sometimes,Sometimes
A,94.26,Never,Never,Always
D,56.46,Always,Sometimes,Never
F,35.26,Never,Always,Never
C,73.43,Always,Always,Always
F,34.86,Always,Never,Never
F,39.66,Always,Sometimes,Sometimes
F,32.49,Always,Always,Never
F,36.11,Never,Always,Never
F,20.85,Sometimes,Never,Always
F,34.08,Never,Sometimes,Sometimes
C,67.7,Sometimes,Never,Never
F,38.69,Always,Always,Never
F,41.37,Always,Never,Always
D,52.38,Never,Never,Never
F,36.57,Sometimes,Always,Always
C,64.29,Sometimes,Sometimes,Sometimes
F,31.29,Never,Sometimes,Never
F,36.9,Never,Always,Never
D,58.95,Never,Always,Sometimes
F,29.63,Never,Never,Sometimes
A,92.74,Never,Always,Never
F,39.52,Sometimes,Never,Always
C,79.82,Sometimes,Sometimes,Sometimes
C,75.73,Sometimes,Always,Never
F,34.69,Sometimes,Never,Sometimes
B,86.52,Always,Never,Never
F,11.54,Always,Always,Sometimes
F,36.8,Always,Sometimes,Never
F,47.14,Never,Always,Always
F,25.99,Sometimes,Never,Never
C,67.64,Always,Never,Never
C,61.28,Always,Always,Never
A,95.16,Never,Always,Always
B,88.16,Never,Always,Sometimes
A,91.57,Sometimes,Never,Sometimes
F,38.57,Always,Sometimes,Never
D,51.72,Never,Always,Never
B,87.09,Never,Sometimes,Never
F,25.5,Always,Sometimes,Never
F,43.3,Sometimes,Sometimes,Sometimes
F,28.71,Always,Always,Always
A,97.6,Never,Never,Sometimes
F,23.07,Sometimes,Sometimes,Never
F,1.18,Always,Never,Always
F,39.32,Never,Sometimes,Always
A,95.03,Sometimes,Never,Never
F,28.86,Sometimes,Always,Never
A,91.38,Sometimes,Sometimes,Never
B,89.88,Sometimes,Always,Sometimes
F,4.13,Sometimes,Never,Always
F,35.97,Never,Sometimes,Always
B,84.84,Never,Always,Always
C,69.68,Never,Never,Never
F,24.67,Never,Never,Always
D,51.57,Always,Never,Always
B,84.78,Sometimes,Always,Always
F,42.01,Always,Always,Sometimes
F,48.74,Always,Never,Never
A,92.37,Sometimes,Always,Always
B,83.96,Sometimes,Always,Sometimes
F,13.1,Always,Always,Sometimes
F,23.74,Never,Always,Always
C,74.29,Always,Always,Always
A,99.93,Always,Never,Always
F,25.28,Always,Always,Sometimes
B,82.76,Sometimes,Always,Never
F,5.94,Sometimes,Never,Never
C,78.31,Always,Never,Sometimes
C,66.21,Sometimes,Sometimes,Never
D,50.09,Never,Never,Never
A,87.71,Always,Sometimes,Always
F,49.17,Sometimes,Always,Sometimes
F,32.59,Never,Sometimes,Never
D,53.21,Always,Always,Sometimes
D,56.69,Never,Never,Never
D,64.81,Sometimes,Sometimes,Always
C,74.16,Always,Never,Sometimes
C,73.37,Sometimes,Always,Sometimes
F,1.15,Never,Never,Never
A,97.02,Always,Sometimes,Always
D,59.71,Always,Sometimes,Sometimes
F,27.49,Never,Always,Always
F,10.66,Never,Never,Always
F,2.99,Never,Sometimes,Sometimes
D,57.67,Never,Sometimes,Never
F,37.48,Sometimes,Never,Sometimes
D,55.02,Sometimes,Always,Sometimes
A,94.59,Never,Always,Sometimes
C,75.38,Never,Never,Never
D,59.96,Always,Always,Always
A,90.61,Sometimes,Always,Never
A,95.8,Always,Always,Never
F,2.75,Never,Never,Always
D,55.56,Sometimes,Always,Never
C,78.43,Never,Sometimes,Sometimes
C,75.41,Sometimes,Never,Sometimes
C,72.78,Sometimes,Sometimes,Never
F,45.25,Always,Sometimes,Sometimes
F,35.47,Sometimes,Sometimes,Always
D,53.97,Never,Sometimes,Never
F,1.53,Sometimes,Never,Sometimes
D,58.11,Always,Never,Sometimes
D,53.91,Never,Always,Always
F,32.66,Never,Always,Always
D,52.52,Always,Always,Never
A,90.49,Never,Never,Always
F,28.45,Always,Never,Sometimes
F,26.6,Always,Never,Sometimes
B,88.26,Sometimes,Always,Never
F,44.76,Never,Always,Sometimes
F,41.3,Always,Never,Never
F,48.43,Sometimes,Sometimes,Always
B,80.68,Never,Sometimes,Sometimes
F,21.61,Always,Sometimes,Always
D,52.87,Sometimes,Never,Always
F,13.38,Sometimes,Sometimes,Never
F,30.44,Never,Sometimes,Always
A,93.86,Always,Never,Always
C,79.35,Sometimes,Never,Always
C,73.89,Never,Always,Always
D,63.54,Never,Never,Always
D,58.2,Never,Sometimes,Always
D,61.4,Never,Always,Always
F,37.56,Sometimes,Always,Always
D,59.45,Sometimes,Sometimes,Never
C,64.54,Never,Sometimes,Never
F,7.91,Never,Never,Sometimes
C,67.32,Sometimes,Sometimes,Never
C,62.46,Always,Sometimes,Never
F,11.34,Never,Always,Sometimes
F,7.67,Always,Sometimes,Sometimes
F,25.66,Sometimes,Never,Never
C,62.41,Always,Always,Never
F,32.35,Sometimes,Sometimes,Never
A,92.78,Never,Never,Never
A,97.56,Never,Never,Sometimes
C,69.68,Always,Sometimes,Sometimes
F,23.67,Sometimes,Never,Never
F,43.29,Always,Never,Always
F,37.2,Always,Always,Sometimes
A,94.44,Sometimes,Sometimes,Always
A,94.42,Always,Always,Sometimes
F,49.06,Never,Always,Always
A,99.85,Always,Always,Sometimes
C,73.08,Never,Sometimes,Always
F,45.07,Always,Always,Always
F,44.03,Always,Sometimes,Sometimes
A,85.15,Never,Sometimes,Always
F,2.02,Never,Always,Never
D,59.31,Never,Always,Always
F,47.38,Never,Never,Always
F,28.94,Never,Always,Always
A,98.54,Always,Sometimes,Always
F,14.21,Never,Sometimes,Sometimes
F,42.83,Always,Sometimes,Sometimes
F,0.12,Always,Always,Always
F,19.15,Always,Always,Always
B,85.24,Always,Always,Never
F,17.47,Always,Sometimes,Never
B,85.77,Never,Never,Sometimes
F,44.93,Always,Never,Sometimes
A,90.68,Sometimes,Always,Never
F,10.16,Never,Never,Always
C,73.68,Always,Sometimes,Never
F,33.94,Always,Sometimes,Never
F,23.55,Always,Never,Sometimes
F,41.3,Always,Never,Never
B,82.86,Never,Always,Always
F,38.62,Never,Sometimes,Sometimes
B,93.35,Sometimes,Never,Sometimes
C,62.7,Never,Never,Sometimes
D,54.76,Sometimes,Always,Sometimes
D,58.41,Sometimes,Never,Sometimes
C,68.2,Always,Never,Never
C,75.53,Sometimes,Sometimes,Sometimes
F,39.86,Always,Sometimes,Sometimes
C,74.24,Always,Always,Sometimes
B,83.24,Always,Never,Always
F,11.31,Sometimes,Sometimes,Never
D,58.06,Never,Sometimes,Always
C,63.77,Never,Always,Sometimes
F,47.19,Never,Sometimes,Sometimes
C,75.52,Sometimes,Sometimes,Never
A,90.51,Sometimes,Always,Never
D,57.5,Never,Never,Sometimes
C,75.14,Sometimes,Sometimes,Never
C,64.97,Never,Never,Sometimes
F,40.11,Always,Sometimes,Always
D,54.82,Sometimes,Sometimes,Sometimes
F,0.84,Always,Always,Never
F,35.73,Sometimes,Sometimes,Sometimes
C,71.51,Always,Always,Never
F,37.74,Never,Never,Never
F,14.08,Always,Never,Always
C,66.57,Never,Never,Sometimes
F,36.82,Sometimes,Never,Sometimes
F,42.06,Sometimes,Sometimes,Never
F,39.54,Never,Never,Sometimes
F,25.49,Never,Never,Always
F,4.55,Always,Always,Never
C,65.37,Sometimes,Always,Always
F,0.73,Sometimes,Never,Sometimes
A,88.08,Always,Sometimes,Always
C,68.3,Always,Never,Always
C,65.41,Always,Sometimes,Never
F,48.05,Sometimes,Never,Always
B,81.34,Never,Sometimes,Never
D,54.66,Sometimes,Never,Always
F,49.41,Always,Sometimes,Always
F,43.67,Always,Never,Always
F,34.13,Never,Never,Sometimes
F,12.05,Always,Never,Sometimes
D,53.76,Sometimes,Always,Always
F,35.88,Never,Sometimes,Always
A,97.99,Always,Always,Sometimes
F,9.17,Never,Sometimes,Always
F,32.46,Always,Sometimes,Sometimes
F,43,Always,Always,Sometimes
F,36.77,Always,Always,Never
F,2.04,Never,Sometimes,Always
F,32.27,Sometimes,Always,Always
F,13.87,Never,Sometimes,Always
F,32.27,Never,Sometimes,Sometimes
C,67.22,Always,Sometimes,Never
B,81.66,Sometimes,Never,Sometimes
F,8.49,Always,Always,Always
F,36.44,Sometimes,Never,Always
F,8.98,Always,Always,Always
F,33.88,Sometimes,Never,Never
F,42.04,Sometimes,Always,Never
C,67.91,Sometimes,Always,Always
B,80.06,Always,Always,Always
F,45.56,Always,Never,Sometimes
F,49.73,Sometimes,Never,Sometimes
F,35.52,Sometimes,Always,Always
F,49.64,Never,Sometimes,Sometimes
F,12.7,Always,Never,Sometimes
F,33.88,Always,Sometimes,Never
F,37.85,Never,Sometimes,Sometimes
D,58.57,Never,Never,Always
D,60.15,Sometimes,Always,Always
C,64.82,Sometimes,Never,Never
B,82.06,Always,Sometimes,Sometimes
F,25.27,Sometimes,Sometimes,Sometimes
F,46.47,Always,Never,Always
D,56.74,Always,Always,Never
B,84.72,Never,Always,Always
B,89.43,Sometimes,Always,Sometimes
C,62.88,Never,Always,Never
C,62.69,Sometimes,Never,Sometimes
F,34.3,Sometimes,Never,Always
F,33.35,Sometimes,Sometimes,Always
F,32.81,Always,Always,Always
F,19.66,Never,Sometimes,Always
C,73.31,Never,Sometimes,Never
A,98.65,Always,Never,Sometimes
D,55.27,Sometimes,Never,Always
F,2.38,Always,Never,Sometimes
F,40.79,Sometimes,Always,Sometimes
F,21.44,Always,Sometimes,Always
F,18.66,Always,Never,Never
F,33.69,Never,Sometimes,Always
B,89.58,Sometimes,Never,Sometimes
F,39.33,Sometimes,Sometimes,Always
D,59.02,Always,Never,Always
F,33.46,Always,Never,Always
B,84.11,Never,Always,Always
F,42.37,Sometimes,Sometimes,Always
B,87.67,Sometimes,Always,Never
A,93.22,Never,Always,Never
F,29.68,Sometimes,Always,Never
A,91.61,Always,Never,Sometimes
F,43.82,Never,Always,Always
F,49.99,Sometimes,Always,Never
D,59.14,Sometimes,Always,Never
F,29.5,Sometimes,Never,Never
D,59.71,Always,Always,Always
F,28.69,Sometimes,Never,Always
F,13.45,Never,Always,Always
A,98.67,Sometimes,Never,Never
F,25.95,Always,Sometimes,Never
A,90.83,Never,Sometimes,Never
C,65.16,Never,Sometimes,Never
A,90.94,Never,Never,Never
F,10.08,Never,Always,Always
F,23.55,Sometimes,Sometimes,Sometimes
C,77.21,Sometimes,Never,Always
C,72.7,Never,Always,Sometimes
C,79.13,Never,Always,Always
F,4.94,Sometimes,Never,Never
D,64.84,Always,Sometimes,Always
F,28.09,Never,Never,Sometimes
A,90.67,Never,Always,Sometimes
D,89.04,Sometimes,Sometimes,Always
F,26.74,Sometimes,Always,Sometimes
F,0.05,Never,Always,Always
F,33.39,Never,Never,Sometimes
B,83.45,Sometimes,Always,Never
D,59.89,Sometimes,Always,Sometimes
F,8.4,Always,Never,Always
F,42.14,Never,Always,Always
C,77.52,Never,Sometimes,Sometimes
F,2.25,Always,Never,Never
D,53.68,Never,Sometimes,Always
D,50.57,Always,Always,Sometimes
F,17.23,Always,Sometimes,Always
F,14.39,Always,Sometimes,Always
D,57.34,Never,Always,Never
F,12.35,Never,Never,Sometimes
F,16.54,Never,Sometimes,Sometimes
F,3.2,Always,Always,Sometimes
F,45.64,Sometimes,Never,Sometimes
D,56.62,Never,Never,Always
F,4.31,Sometimes,Sometimes,Never
D,50.17,Always,Sometimes,Always
C,78.56,Never,Never,Sometimes
F,37.43,Sometimes,Never,Always
C,68.42,Sometimes,Sometimes,Always
F,0.68,Always,Sometimes,Sometimes
F,10.78,Sometimes,Always,Sometimes
F,44.59,Never,Never,Sometimes
C,75.56,Never,Never,Sometimes
A,92.28,Sometimes,Always,Never
B,83.8,Never,Always,Sometimes
F,23.73,Always,Sometimes,Sometimes
F,22.83,Sometimes,Sometimes,Always
D,50.69,Never,Always,Always
D,57.55,Never,Always,Always
F,46.03,Never,Never,Sometimes
F,46.08,Sometimes,Sometimes,Sometimes
F,46.01,Sometimes,Sometimes,Always
B,84.89,Sometimes,Always,Always
F,30.45,Always,Always,Sometimes
F,29.08,Never,Always,Sometimes
F,36.58,Never,Sometimes,Sometimes
C,67.01,Always,Always,Never
A,98.61,Never,Sometimes,Never
F,8.32,Never,Never,Never
B,80.59,Always,Sometimes,Sometimes
D,56.56,Always,Sometimes,Never
F,14.7,Sometimes,Never,Sometimes
F,11.87,Always,Sometimes,Never
F,20.35,Never,Never,Never
D,53.69,Always,Always,Never
C,78.37,Always,Always,Sometimes
A,97.72,Always,Always,Always
F,22.31,Never,Never,Always
C,77.69,Never,Never,Sometimes
C,66.71,Always,Always,Never
B,81.09,Never,Always,Never
F,48.36,Sometimes,Never,Sometimes
D,58.28,Sometimes,Never,Always
F,43.46,Sometimes,Never,Always
F,48.58,Always,Always,Sometimes
A,92.79,Always,Never,Sometimes
F,21.72,Always,Sometimes,Always
A,92.16,Sometimes,Always,Always
A,85.24,Always,Sometimes,Always
F,18.88,Always,Always,Always
F,5.67,Sometimes,Never,Sometimes
C,69.73,Never,Always,Never
A,94.84,Sometimes,Always,Never
F,22.17,Never,Sometimes,Always
D,56.98,Never,Never,Always
B,81.08,Never,Always,Sometimes
B,80.38,Never,Never,Sometimes
C,71.75,Always,Never,Sometimes
F,37.35,Sometimes,Sometimes,Sometimes
D,50.3,Always,Always,Never
F,47.46,Always,Sometimes,Always
F,49.11,Sometimes,Never,Never
D,54.97,Always,Never,Sometimes
C,66.72,Never,Always,Sometimes
F,46.88,Never,Sometimes,Never
C,77.17,Always,Always,Always
B,84.29,Never,Always,Never
C,64.81,Never,Sometimes,Sometimes
B,81.33,Always,Always,Sometimes
F,30.05,Sometimes,Never,Always
F,5.88,Always,Always,Sometimes
F,38.23,Never,Never,Sometimes
C,73.3,Never,Sometimes,Always
C,78.91,Never,Never,Sometimes
F,34.61,Sometimes,Sometimes,Always
C,74.53,Always,Never,Always
F,47.49,Never,Sometimes,Always
F,27.12,Always,Always,Always
D,59.89,Sometimes,Sometimes,Always
F,10.87,Sometimes,Sometimes,Always
F,9.27,Sometimes,Always,Never
F,29.89,Sometimes,Sometimes,Never
D,50.66,Never,Sometimes,Sometimes
F,10.28,Always,Always,Sometimes
C,73.25,Sometimes,Never,Always
C,67.28,Always,Always,Always
F,48.98,Never,Never,Always
F,26.7,Never,Always,Sometimes
A,99.95,Never,Never,Sometimes
F,3.72,Sometimes,Never,Always
F,10.12,Always,Sometimes,Always
F,23.1,Never,Never,Never
F,15.96,Sometimes,Never,Sometimes
F,13.72,Sometimes,Always,Sometimes
F,1.54,Never,Sometimes,Always
C,77.31,Sometimes,Never,Never
F,9.57,Sometimes,Sometimes,Sometimes
C,75.82,Sometimes,Never,Sometimes
F,42.7,Always,Always,Never
F,11.84,Sometimes,Always,Always
F,34.96,Never,Always,Sometimes
B,87.59,Sometimes,Never,Sometimes
C,72.88,Always,Always,Never
B,85.22,Sometimes,Sometimes,Never
C,68.57,Never,Never,Always
C,71.36,Sometimes,Always,Always
C,73.71,Sometimes,Always,Never
A,89.69,Never,Never,Always
B,82.81,Never,Sometimes,Sometimes
B,82.26,Always,Always,Never
B,83.44,Never,Always,Sometimes
F,9.91,Always,Always,Always
D,59.92,Sometimes,Always,Always
C,74.99,Always,Never,Sometimes
C,71.11,Never,Always,Sometimes
F,49.08,Sometimes,Sometimes,Never
F,30.61,Always,Sometimes,Sometimes
A,97.79,Sometimes,Sometimes,Always
C,78.66,Never,Never,Always
F,32.6,Sometimes,Always,Sometimes
F,37.69,Always,Sometimes,Never
C,79.82,Sometimes,Never,Always
A,96.95,Always,Sometimes,Sometimes
B,86.69,Sometimes,Always,Never
F,1.11,Sometimes,Never,Sometimes
C,72.14,Never,Always,Always
F,35.63,Sometimes,Sometimes,Sometimes
B,82.55,Always,Always,Never
F,1.75,Always,Never,Never
C,67.41,Sometimes,Sometimes,Sometimes
F,15.07,Sometimes,Never,Never
A,85.64,Never,Never,Always
F,40.98,Always,Sometimes,Sometimes
D,53.53,Never,Never,Sometimes
F,2.85,Sometimes,Always,Always
A,93.37,Sometimes,Sometimes,Never
F,6.88,Sometimes,Sometimes,Never
F,27.26,Always,Never,Always
B,88.73,Never,Sometimes,Never
F,13.61,Always,Sometimes,Always
F,3.41,Always,Sometimes,Always
F,44.83,Always,Sometimes,Always
B,80.26,Always,Always,Sometimes
F,42.05,Sometimes,Always,Never
F,17.59,Never,Never,Sometimes
C,72.72,Always,Sometimes,Sometimes
A,93.84,Never,Never,Sometimes
F,35.44,Never,Never,Sometimes
D,55.26,Always,Never,Sometimes
C,70.65,Sometimes,Never,Sometimes
C,64.59,Always,Always,Sometimes
B,87.28,Always,Always,Never
F,3.23,Never,Sometimes,Always
F,13.68,Always,Always,Sometimes
A,96.18,Always,Always,Always
F,1.7,Never,Sometimes,Always
C,60.51,Always,Always,Never
F,2.85,Never,Always,Always
F,4.33,Sometimes,Always,Sometimes
F,0.89,Sometimes,Always,Never
F,34.67,Sometimes,Always,Always
A,90.91,Always,Sometimes,Sometimes
F,36.11,Never,Sometimes,Always
F,3.29,Never,Never,Sometimes
A,97.9,Never,Sometimes,Sometimes
F,29.55,Sometimes,Sometimes,Always
A,91.98,Never,Always,Sometimes
A,98.22,Never,Never,Never
C,69.51,Always,Sometimes,Always
C,72.11,Always,Always,Never
F,9.86,Never,Sometimes,Sometimes
C,73.52,Sometimes,Sometimes,Always
C,70.27,Always,Always,Sometimes
A,99.21,Never,Always,Sometimes
A,91.38,Always,Sometimes,Sometimes
C,69.12,Never,Never,Always
A,95.97,Sometimes,Never,Never
C,79.49,Always,Never,Sometimes
F,48.26,Never,Always,Never
C,75.96,Sometimes,Always,Always
F,17.71,Sometimes,Sometimes,Always
D,50.44,Never,Sometimes,Always
C,65.22,Never,Sometimes,Sometimes
B,88.57,Always,Always,Never
F,39.17,Always,Sometimes,Sometimes
B,83.59,Sometimes,Always,Never
C,64.17,Sometimes,Never,Sometimes
C,61.34,Sometimes,Always,Never
A,94.49,Never,Never,Never
F,8.42,Always,Sometimes,Sometimes
F,38.87,Sometimes,Never,Sometimes
F,29.13,Always,Never,Never
F,32.81,Never,Always,Always
F,15.44,Always,Never,Sometimes
D,62.36,Sometimes,Always,Always
F,33.72,Sometimes,Always,Sometimes
F,34.93,Always,Always,Always
F,26.64,Never,Never,Never
C,75.62,Sometimes,Always,Never
F,16.82,Never,Never,Never
F,21.55,Always,Always,Always
F,36.36,Always,Sometimes,Always
F,7.24,Sometimes,Never,Never
F,40.35,Always,Never,Always
C,76.42,Never,Sometimes,Never
F,34.6,Never,Never,Always
F,3.32,Sometimes,Sometimes,Sometimes
A,92.42,Never,Always,Always
A,91.58,Always,Never,Always
F,46.8,Sometimes,Always,Sometimes
A,95.94,Always,Sometimes,Always
C,61.76,Never,Always,Never
F,7.7,Sometimes,Always,Always
F,23.92,Always,Sometimes,Sometimes
A,94.79,Sometimes,Always,Sometimes
F,29.57,Always,Sometimes,Sometimes
F,30.92,Always,Always,Never
C,64.49,Never,Sometimes,Sometimes
A,97.43,Always,Sometimes,Always
F,2.29,Always,Never,Sometimes
F,29.83,Sometimes,Always,Sometimes
F,28.97,Always,Sometimes,Never
F,5.97,Always,Always,Always
F,30.69,Always,Sometimes,Sometimes
F,33.78,Sometimes,Sometimes,Always
F,47.74,Never,Sometimes,Never
B,80.25,Always,Always,Sometimes
C,63.27,Never,Never,Never
D,55.94,Always,Sometimes,Always
A,94.36,Always,Always,Always
F,10.04,Never,Sometimes,Always
